Handle,Title,Vendor,Variant SKU,Variant Price,Variant Inventory Qty,Product Type,Variant Inventory Tracker,Status
gady-handbags-silk-tote-black-and-white-rectangular-pattern-sample,Silk Tote Black and White Rectangular Pattern Sample,GADY,GADY-HANDBAGS-SILK-TOTE-BLACK-AND-WHITE-RECTANGULAR-PATTERN-SAMPLE,,0,HANDBAGS,shopify,draft
gady-handbags-silk-tote-blue-leaves,Silk Tote Blue Leaves,GADY,GADY-HANDBAGS-SILK-TOTE-BLUE-LEAVES,,0,HANDBAGS,shopify,draft
gady-handbags-silk-tote-blue-and-purple-lotus,Silk Tote Blue and Purple Lotus,GADY,GADY-HANDBAGS-SILK-TOTE-BLUE-AND-PURPLE-LOTUS,90,2,HANDBAGS,shopify,draft
gady-handbags-silk-tote-blue-red-and-yellow,"Silk Tote Blue, Red and Yellow",GADY,GADY-HANDBAGS-SILK-TOTE-BLUE-RED-AND-YELLOW,90,1,HANDBAGS,shopify,draft
gady-handbags-silk-tote-brown-and-gold-w-o-label,Silk Tote Brown and Gold w/o Label,GADY,GADY-HANDBAGS-SILK-TOTE-BROWN-AND-GOLD-W-O-LABEL,90,1,HANDBAGS,shopify,draft
gady-handbags-silk-tote-burnt-red-and-light-blue-w-o-label,Silk Tote Burnt Red and Light Blue w/o label,GADY,GADY-HANDBAGS-SILK-TOTE-BURNT-RED-AND-LIGHT-BLUE-W-O-LABEL,,0,HANDBAGS,shopify,draft
gady-handbags-silk-tote-fuchsia-pomegranate-and-black,Silk Tote Fuchsia Pomegranate and Black,GADY,GADY-HANDBAGS-SILK-TOTE-FUCHSIA-POMEGRANATE-AND-BLACK,90,1,HANDBAGS,shopify,draft
gady-handbags-silk-tote-golden-sunshine-w-o-label,Silk Tote Golden Sunshine w/o label,GADY,GADY-HANDBAGS-SILK-TOTE-GOLDEN-SUNSHINE-W-O-LABEL,,0,HANDBAGS,shopify,draft
gady-handbags-silk-tote-lime-green-and-black-w-o-label,Silk Tote Lime Green and Black w/o label,GADY,GADY-HANDBAGS-SILK-TOTE-LIME-GREEN-AND-BLACK-W-O-LABEL,90,1,HANDBAGS,shopify,draft
gady-handbags-silk-tote-multi-colors,Silk Tote Multi Colors,GADY,GADY-HANDBAGS-SILK-TOTE-MULTI-COLORS,,0,HANDBAGS,shopify,draft
gady-handbags-silk-tote-peacock,Silk Tote Peacock,GADY,GADY-HANDBAGS-SILK-TOTE-PEACOCK,,0,HANDBAGS,shopify,draft
gady-handbags-silk-tote-purple-and-grey,Silk Tote Purple and Grey,GADY,GADY-HANDBAGS-SILK-TOTE-PURPLE-AND-GREY,,0,HANDBAGS,shopify,draft
gady-handbags-silk-tote-teal-and-green,Silk Tote Teal and Green,GADY,GADY-HANDBAGS-SILK-TOTE-TEAL-AND-GREEN,90,1,HANDBAGS,shopify,draft
gady-handbags-silk-tote-tigers,Silk Tote Tigers,GADY,GADY-HANDBAGS-SILK-TOTE-TIGERS,,0,HANDBAGS,shopify,draft
gady-handbags-silk-tote-turquoise-and-grey-w-o-label,Silk Tote Turquoise and Grey w/o label,GADY,GADY-HANDBAGS-SILK-TOTE-TURQUOISE-AND-GREY-W-O-LABEL,90,1,HANDBAGS,shopify,draft
gady-handbags-silk-tote-and-shoes-pink-and-teal-sample,Silk Tote and Shoes Pink and Teal Sample,GADY,GADY-HANDBAGS-SILK-TOTE-AND-SHOES-PINK-AND-TEAL-SAMPLE,90,1,HANDBAGS,shopify,draft
gady-handbags-silk-tote-olive-green-and-light-blue-w-o-label,Silk Tote Olive Green and Light Blue w/o label,GADY,GADY-HANDBAGS-SILK-TOTE-OLIVE-GREEN-AND-LIGHT-BLUE-W-O-LABEL,90,1,HANDBAGS,shopify,draft
gady-handbags-silk-tote-red-white-and-blue-w-o-label,"Silk Tote Red, White and Blue w/o label",GADY,GADY-HANDBAGS-SILK-TOTE-RED-WHITE-AND-BLUE-W-O-LABEL,90,1,HANDBAGS,shopify,draft
gardenbelle-tops-organic-cotton-oversized-sweater,Organic Cotton Oversized Sweater,GARDENBELLE,GARDENBELLE-TOPS-ORGANIC-COTTON-OVERSIZED-SWEATER,70,2,TOPS,shopify,draft
gardenbelle-kimonos-rainbow-hippie-boho-psychedelic-kimono-robe,Rainbow Hippie Boho Psychedelic Kimono Robe,GARDENBELLE,GARDENBELLE-KIMONOS-RAINBOW-HIPPIE-BOHO-PSYCHEDELIC-KIMONO-ROBE,30,1,KIMONOS,shopify,draft
gary-tops-kamehamaka-blue-palm-trees,kamehamaka Blue Palm Trees,GARY,GARY-TOPS-KAMEHAMAKA-BLUE-PALM-TREES,,0,TOPS,shopify,draft
gary-tops-s-aloha-shirt-reyn-spooner-tiki-torches,’s Aloha Shirt Reyn Spooner Tiki Torches,GARY,GARY-TOPS-S-ALOHA-SHIRT-REYN-SPOONER-TIKI-TORCHES,,1,TOPS,shopify,draft
gary-tops-s-beck-sport-fishing-village,’s Beck Sport Fishing Village,GARY,GARY-TOPS-S-BECK-SPORT-FISHING-VILLAGE,0,1,TOPS,shopify,draft
gary-tops-s-go-barefoot-blue,’s Go Barefoot Blue,GARY,GARY-TOPS-S-GO-BAREFOOT-BLUE,0,1,TOPS,shopify,draft
gary-tops-s-hawiian-territoty-ahead-green-plane,’s Hawiian territoty ahead green plane,GARY,GARY-TOPS-S-HAWIIAN-TERRITOTY-AHEAD-GREEN-PLANE,,0,TOPS,shopify,draft
gary-tops-s-john-severson-surfer,’s John Severson Surfer,GARY,GARY-TOPS-S-JOHN-SEVERSON-SURFER,0,1,TOPS,shopify,draft
gary-tops-s-kahala-cocktail-shirt,’s Kahala Cocktail Shirt,GARY,GARY-TOPS-S-KAHALA-COCKTAIL-SHIRT,,1,TOPS,shopify,draft
gary-tops-s-max-boxer-cars,’s Max Boxer Cars,GARY,GARY-TOPS-S-MAX-BOXER-CARS,0,1,TOPS,shopify,draft
gary-tops-s-paradise-found-rt-66-corvette,’s Paradise Found Rt 66 Corvette,GARY,GARY-TOPS-S-PARADISE-FOUND-RT-66-CORVETTE,0,1,TOPS,shopify,draft
gary-tops-s-reyn-spooner-green-dancers,’s Reyn Spooner Green Dancers,GARY,GARY-TOPS-S-REYN-SPOONER-GREEN-DANCERS,0,1,TOPS,shopify,draft
gary-tops-s-reyn-spooner-jazz,’s Reyn Spooner Jazz,GARY,GARY-TOPS-S-REYN-SPOONER-JAZZ,0,1,TOPS,shopify,draft
gary-tops-s-reyn-spooner-margaritaville,’s Reyn Spooner Margaritaville,GARY,GARY-TOPS-S-REYN-SPOONER-MARGARITAVILLE,0,1,TOPS,shopify,draft
gary-tops-s-reyn-spooner-pineapple,’s Reyn Spooner Pineapple,GARY,GARY-TOPS-S-REYN-SPOONER-PINEAPPLE,,1,TOPS,shopify,draft
gary-tops-s-silver-addition-quicksilver,’s Silver Addition Quicksilver,GARY,GARY-TOPS-S-SILVER-ADDITION-QUICKSILVER,,1,TOPS,shopify,draft
gary-tops-s-spot-hawaiian-spot-cocktails,’s Spot Hawaiian Spot Cocktails,GARY,GARY-TOPS-S-SPOT-HAWAIIAN-SPOT-COCKTAILS,,0,TOPS,shopify,draft
gary-tops-s-strady-last-call,’s Strady Last Call,GARY,GARY-TOPS-S-STRADY-LAST-CALL,0,1,TOPS,shopify,draft
gary-tops-s-territory-ahead-abstract,’s Territory Ahead Abstract,GARY,GARY-TOPS-S-TERRITORY-AHEAD-ABSTRACT,,0,TOPS,shopify,draft
gary-tops-s-tori-richard-blue-palm,’s Tori Richard Blue Palm,GARY,GARY-TOPS-S-TORI-RICHARD-BLUE-PALM,,1,TOPS,shopify,draft
gary-tops-s-tori-richard-wine,’s Tori Richard Wine,GARY,GARY-TOPS-S-TORI-RICHARD-WINE,0,1,TOPS,shopify,draft
gary-tops-s-utility-palm-tree,’s Utility Palm Tree,GARY,GARY-TOPS-S-UTILITY-PALM-TREE,,1,TOPS,shopify,draft
gary-tops-s-weekend-traffic-drinks,’s Weekend Traffic Drinks,GARY,GARY-TOPS-S-WEEKEND-TRAFFIC-DRINKS,0,1,TOPS,shopify,draft
gary-tops-s-reyn-spooner-bowling,’s reyn spooner bowling,GARY,GARY-TOPS-S-REYN-SPOONER-BOWLING,,0,TOPS,shopify,draft
gerard-vest-multicolor-striped-vintage-vest,Multicolor Striped Vintage Vest,GERARD,GERARD-VEST-MULTICOLOR-STRIPED-VINTAGE-VEST,52.27,1,VEST,shopify,draft
glitter-biscuits-glasses-bayou-festival-sunglasses,Bayou Festival Sunglasses,GLITTER BISCUITS,GLITTER-BISCUITS-GLASSES-BAYOU-FESTIVAL-SUNGLASSES,18,1,GLASSES,shopify,draft
glitter-biscuits-glasses-boil-glasses-brown,Boil Glasses Brown,GLITTER BISCUITS,GLITTER-BISCUITS-GLASSES-BOIL-GLASSES-BROWN,20,1,GLASSES,shopify,draft
glitter-biscuits-glasses-cat-eye-boil-glasses,Cat Eye Boil Glasses,GLITTER BISCUITS,GLITTER-BISCUITS-GLASSES-CAT-EYE-BOIL-GLASSES,18,1,GLASSES,shopify,draft
glitter-biscuits-glasses-cat-eye-boil-glasses-white-frame,Cat Eye Boil Glasses white frame,GLITTER BISCUITS,GLITTER-BISCUITS-GLASSES-CAT-EYE-BOIL-GLASSES-WHITE-FRAME,18,1,GLASSES,shopify,draft
glitter-biscuits-glasses-gemstone-pink,Gemstone Pink,GLITTER BISCUITS,GLITTER-BISCUITS-GLASSES-GEMSTONE-PINK,20,1,GLASSES,shopify,draft
glitter-biscuits-glasses-glitz-and-glamour-gemstone-sunglasses,Glitz and Glamour Gemstone Sunglasses,GLITTER BISCUITS,GLITTER-BISCUITS-GLASSES-GLITZ-AND-GLAMOUR-GEMSTONE-SUNGLASSES,15,1,GLASSES,shopify,draft
glitter-biscuits-glasses-you-re-so-saxxy-sunglasses,You're So Saxxy Sunglasses,GLITTER BISCUITS,GLITTER-BISCUITS-GLASSES-YOU-RE-SO-SAXXY-SUNGLASSES,15,1,GLASSES,shopify,draft
henelle-scarves-bandana-death-valley,Bandana Death Valley,HENELLE,HENELLE-SCARVES-BANDANA-DEATH-VALLEY,,0,SCARVES,shopify,draft
henelle-scarves-bandana-hollywood-nights-silk,Bandana Hollywood Nights Silk,HENELLE,HENELLE-SCARVES-BANDANA-HOLLYWOOD-NIGHTS-SILK,22,1,SCARVES,shopify,draft
henelle-scarves-bandana-hollywood-nights-silk,Bandana Hollywood Nights Silk,HENELLE,HENELLE-SCARVES-BANDANA-HOLLYWOOD-NIGHTS-SILK,23,1,SCARVES,shopify,draft
henelle-scarves-bandana-laurel-canyon-silk,Bandana Laurel Canyon Silk,HENELLE,HENELLE-SCARVES-BANDANA-LAUREL-CANYON-SILK,,1,SCARVES,shopify,draft
henelle-scarves-bandana-palm-springs-flamingo-silk,Bandana Palm Springs Flamingo Silk,HENELLE,HENELLE-SCARVES-BANDANA-PALM-SPRINGS-FLAMINGO-SILK,,0,SCARVES,shopify,draft
henelle-kimonos-kimono-hollywood-nights,Kimono Hollywood Nights,HENELLE,HENELLE-KIMONOS-KIMONO-HOLLYWOOD-NIGHTS,84.5,2,KIMONOS,shopify,draft
henelle-kimonos-kimono-hollywood-vine,Kimono Hollywood Vine,HENELLE,HENELLE-KIMONOS-KIMONO-HOLLYWOOD-VINE,77.5,1,KIMONOS,shopify,draft
henelle-kimonos-kimono-laurel-canyon,Kimono Laurel Canyon,HENELLE,HENELLE-KIMONOS-KIMONO-LAUREL-CANYON,,1,KIMONOS,shopify,draft
henelle-kimonos-kimono-palm-springs,Kimono Palm Springs,HENELLE,HENELLE-KIMONOS-KIMONO-PALM-SPRINGS,,0,KIMONOS,shopify,draft
henelle-kimonos-kimono-wanderlust-smiley-face,Kimono Wanderlust Smiley Face,HENELLE,HENELLE-KIMONOS-KIMONO-WANDERLUST-SMILEY-FACE,84.5,1,KIMONOS,shopify,draft
henelle-kimonos-kimono-tiger-blue,Kimono tiger blue,HENELLE,HENELLE-KIMONOS-KIMONO-TIGER-BLUE,155,0,KIMONOS,shopify,draft
henelle-accessories-mask-bath,Mask Bath,HENELLE,HENELLE-ACCESSORIES-MASK-BATH,,0,ACCESSORIES,shopify,draft
henelle-accessories-mask-butterfly-effect-silk-sleep,Mask Butterfly Effect Silk Sleep,HENELLE,HENELLE-ACCESSORIES-MASK-BUTTERFLY-EFFECT-SILK-SLEEP,20,0,ACCESSORIES,shopify,draft
henelle-accessories-mask-palm-springs-flamingo-silk-sleep,Mask Palm Springs Flamingo Silk Sleep,HENELLE,HENELLE-ACCESSORIES-MASK-PALM-SPRINGS-FLAMINGO-SILK-SLEEP,20,1,ACCESSORIES,shopify,draft
henelle-scarves-scarf-death-valley-silk,Scarf Death Valley Silk,HENELLE,HENELLE-SCARVES-SCARF-DEATH-VALLEY-SILK,,0,SCARVES,shopify,draft
jane-home-goods-hazeltine-candle-st-enzo,Hazeltine Candle St Enzo,JANE,JANE-HOME-GOODS-HAZELTINE-CANDLE-ST-ENZO,21,0,HOME GOODS,shopify,draft
jane-candles-hazeltine-river-daze,Hazeltine River Daze,JANE,JANE-CANDLES-HAZELTINE-RIVER-DAZE,,0,CANDLES,shopify,draft
jane-candles-hazeltine-weekend-lover,Hazeltine Weekend Lover,JANE,JANE-CANDLES-HAZELTINE-WEEKEND-LOVER,,0,CANDLES,shopify,draft
jane-candles-hazeltine-holy-smoke,Hazeltine Holy Smoke,JANE,JANE-CANDLES-HAZELTINE-HOLY-SMOKE,21,0,CANDLES,shopify,draft
jane-candles-hazeltine-night-of-joy,Hazeltine Night of Joy,JANE,JANE-CANDLES-HAZELTINE-NIGHT-OF-JOY,21,0,CANDLES,shopify,draft
jane-candles-hazeltine-room-421,Hazeltine Room 421,JANE,JANE-CANDLES-HAZELTINE-ROOM-421,,1,CANDLES,shopify,draft
jane-home-goods-terre-bonne-hazeltine-candle,Terre Bonne Hazeltine Candle,JANE,JANE-HOME-GOODS-TERRE-BONNE-HAZELTINE-CANDLE,21,3,HOME GOODS,shopify,draft
jane-home-goods-this-parade-hazeltine-candle,This Parade Hazeltine Candle,JANE,JANE-HOME-GOODS-THIS-PARADE-HAZELTINE-CANDLE,21,0,HOME GOODS,shopify,draft
jennafer-grace-kimonos-rainbow-road-sequin-kimono,Rainbow Road Sequin Kimono,JENNAFER GRACE,JENNAFER-GRACE-KIMONOS-RAINBOW-ROAD-SEQUIN-KIMONO,179,1,KIMONOS,shopify,draft
jennafer-grace-dresses-sequin-mini-with-feather-cuffs,Sequin Mini with Feather Cuffs,JENNAFER GRACE,JENNAFER-GRACE-DRESSES-SEQUIN-MINI-WITH-FEATHER-CUFFS,119,1,DRESSES,shopify,draft
jennafer-grace-hats-turban,Turban,JENNAFER GRACE,JENNAFER-GRACE-HATS-TURBAN,16,1,HATS,shopify,draft
jennafer-grace-accessories-twist-headband,Twist Headband,JENNAFER GRACE,JENNAFER-GRACE-ACCESSORIES-TWIST-HEADBAND,14,0,ACCESSORIES,shopify,draft
jennafer-grace-kimonos-viper-caftan,Viper Caftan,JENNAFER GRACE,JENNAFER-GRACE-KIMONOS-VIPER-CAFTAN,72,0,KIMONOS,shopify,draft
jennafer-grace-kimonos-voglia-blue-kaftan-caftan-dress-turquoise-and-lime,Voglia Blue Kaftan Caftan Dress (Turquoise and Lime),JENNAFER GRACE,JENNAFER-GRACE-KIMONOS-VOGLIA-BLUE-KAFTAN-CAFTAN-DRESS-TURQUOISE-AND-LIME,77,1,KIMONOS,shopify,draft
jennafer-grace-kimonos-voglia-rosa-kaftan-pink-orange,Voglia Rosa Kaftan (Pink & Orange),JENNAFER GRACE,JENNAFER-GRACE-KIMONOS-VOGLIA-ROSA-KAFTAN-PINK-ORANGE,77,1,KIMONOS,shopify,draft
kate-mcnee-accessories-headdress,Headdress,KATE MCNEE,KATE-MCNEE-ACCESSORIES-HEADDRESS,,3,ACCESSORIES,shopify,draft
laliblue-earrings-crawfish-earrings,Crawfish Earrings,LALIBLUE,LALIBLUE-EARRINGS-CRAWFISH-EARRINGS,,0,EARRINGS,shopify,draft
laliblue-necklaces-crawfish-necklace,Crawfish Necklace,LALIBLUE,LALIBLUE-NECKLACES-CRAWFISH-NECKLACE,,0,NECKLACES,shopify,draft
laliblue-earrings-gator-earrings,Gator Earrings,LALIBLUE,LALIBLUE-EARRINGS-GATOR-EARRINGS,,0,EARRINGS,shopify,draft
laliblue-earrings-moon-earrings,Moon Earrings,LALIBLUE,LALIBLUE-EARRINGS-MOON-EARRINGS,,0,EARRINGS,shopify,draft
laliblue-necklaces-bullet-dachshund-necklace,Bullet Dachshund Necklace,LALIBLUE,LALIBLUE-NECKLACES-BULLET-DACHSHUND-NECKLACE,,1,NECKLACES,shopify,draft
laliblue-earrings-cherries-earrings,Cherries Earrings,LALIBLUE,LALIBLUE-EARRINGS-CHERRIES-EARRINGS,,0,EARRINGS,shopify,draft
laliblue-necklaces-gator-tamer-necklace,Gator Tamer necklace,LALIBLUE,LALIBLUE-NECKLACES-GATOR-TAMER-NECKLACE,,0,NECKLACES,shopify,draft
laliblue-necklaces-make-art-not-war-necklace,Make Art Not War necklace,LALIBLUE,LALIBLUE-NECKLACES-MAKE-ART-NOT-WAR-NECKLACE,,0,NECKLACES,shopify,draft
laliblue-necklaces-make-music-not-war-necklace,Make Music Not War necklace,LALIBLUE,LALIBLUE-NECKLACES-MAKE-MUSIC-NOT-WAR-NECKLACE,,0,NECKLACES,shopify,draft
laliblue-pins-ouija-board-brooch,Ouija board brooch,LALIBLUE,LALIBLUE-PINS-OUIJA-BOARD-BROOCH,,0,PINS,shopify,draft
laliblue-pins-roller-skates-articulating-brooch,Roller Skates Articulating brooch,LALIBLUE,LALIBLUE-PINS-ROLLER-SKATES-ARTICULATING-BROOCH,,0,PINS,shopify,draft
laliblue-earrings-snake-earrings,Snake Earrings,LALIBLUE,LALIBLUE-EARRINGS-SNAKE-EARRINGS,,0,EARRINGS,shopify,draft
lee-tops-storm-rider-vintage-1960-s-jacket,Storm Rider Vintage 1960's Jacket,LEE,LEE-TOPS-STORM-RIDER-VINTAGE-1960-S-JACKET,,1,TOPS,shopify,draft
lily-mcnee-necklaces-crystal-and-glass-beaded-mardi-gras-necklace,Crystal and glass beaded Mardi Gras Necklace,LILY MCNEE,LILY-MCNEE-NECKLACES-CRYSTAL-AND-GLASS-BEADED-MARDI-GRAS-NECKLACE,50,0,NECKLACES,shopify,draft
machete-earrings-kate-hoops,Kate Hoops,MACHETE,MACHETE-EARRINGS-KATE-HOOPS,41.36,1,EARRINGS,shopify,draft
machete-hair-claws-midi-heirloom-claw-in-capri,Midi Heirloom Claw in Capri,MACHETE,MACHETE-HAIR-CLAWS-MIDI-HEIRLOOM-CLAW-IN-CAPRI,16.45,0,HAIR CLAWS,shopify,draft
machete-hair-claws-midi-heirloom-claw-in-stromanthe,Midi Heirloom Claw in Stromanthe,MACHETE,MACHETE-HAIR-CLAWS-MIDI-HEIRLOOM-CLAW-IN-STROMANTHE,16.45,0,HAIR CLAWS,shopify,draft
machete-hair-claws-midi-heirloom-claw-in-terrazzo,Midi Heirloom Claw in Terrazzo,MACHETE,MACHETE-HAIR-CLAWS-MIDI-HEIRLOOM-CLAW-IN-TERRAZZO,16.45,0,HAIR CLAWS,shopify,draft
machete-hair-claws-mini-claw-blue-shell-checker,Mini Claw Blue Shell Checker,MACHETE,MACHETE-HAIR-CLAWS-MINI-CLAW-BLUE-SHELL-CHECKER,7.99,1,HAIR CLAWS,shopify,draft
machete-hair-claws-mini-claw-calico,Mini Claw Calico,MACHETE,MACHETE-HAIR-CLAWS-MINI-CLAW-CALICO,7.99,0,HAIR CLAWS,shopify,draft
machete-hair-claws-mini-claw-canyon,Mini Claw Canyon,MACHETE,MACHETE-HAIR-CLAWS-MINI-CLAW-CANYON,7.99,0,HAIR CLAWS,shopify,draft
machete-hair-claws-mini-claw-mini-claw-in-stromanthe,Mini Claw Mini Claw in Stromanthe,MACHETE,MACHETE-HAIR-CLAWS-MINI-CLAW-MINI-CLAW-IN-STROMANTHE,7.99,1,HAIR CLAWS,shopify,draft
machete-hair-claws-mini-claw-orange-checker,Mini Claw Orange Checker,MACHETE,MACHETE-HAIR-CLAWS-MINI-CLAW-ORANGE-CHECKER,7.99,1,HAIR CLAWS,shopify,draft
machete-hair-claws-mini-claw-terrazzo,Mini Claw Terrazzo,MACHETE,MACHETE-HAIR-CLAWS-MINI-CLAW-TERRAZZO,7.99,0,HAIR CLAWS,shopify,draft
machete-hair-claws-mini-claw-terre-shell-checker,Mini Claw Terre Shell Checker,MACHETE,MACHETE-HAIR-CLAWS-MINI-CLAW-TERRE-SHELL-CHECKER,7.99,1,HAIR CLAWS,shopify,draft
machete-hair-claws-mini-claw-in-sea-shell-checker,Mini Claw in Sea Shell Checker,MACHETE,MACHETE-HAIR-CLAWS-MINI-CLAW-IN-SEA-SHELL-CHECKER,7.99,1,HAIR CLAWS,shopify,draft
machete-bath-and-body-comb-no-2,Comb no 2,MACHETE,MACHETE-BATH-AND-BODY-COMB-NO-2,,5,BATH AND BODY,shopify,draft
machete-hair-claws-hair-claw-midi-medium,Hair Claw Midi (medium),MACHETE,MACHETE-HAIR-CLAWS-HAIR-CLAW-MIDI-MEDIUM,17,1,HAIR CLAWS,shopify,draft
machete-hair-claws-hair-claw-mini-clip,Hair Claw Mini Clip,MACHETE,MACHETE-HAIR-CLAWS-HAIR-CLAW-MINI-CLIP,,0,HAIR CLAWS,shopify,draft
machete-accessories-headband-thick,Headband Thick,MACHETE,MACHETE-ACCESSORIES-HEADBAND-THICK,,2,ACCESSORIES,shopify,draft
machete-accessories-headband-thin,Headband Thin,MACHETE,MACHETE-ACCESSORIES-HEADBAND-THIN,,2,ACCESSORIES,shopify,draft
machete-earrings-hoops-kate,Hoops Kate,MACHETE,MACHETE-EARRINGS-HOOPS-KATE,20.68,1,EARRINGS,shopify,draft
machete-earrings-hoops-large,Hoops Large,MACHETE,MACHETE-EARRINGS-HOOPS-LARGE,16.92,0,EARRINGS,shopify,draft
machete-earrings-hoops-midi-square,Hoops Midi Square,MACHETE,MACHETE-EARRINGS-HOOPS-MIDI-SQUARE,21.15,2,EARRINGS,shopify,draft
machete-accessories-keychain,Keychain,MACHETE,MACHETE-ACCESSORIES-KEYCHAIN,,1,ACCESSORIES,shopify,draft
machete-accessories-mirror-pocket,Mirror Pocket,MACHETE,MACHETE-ACCESSORIES-MIRROR-POCKET,,1,ACCESSORIES,shopify,draft
machete-accessories-watch,Watch,MACHETE,MACHETE-ACCESSORIES-WATCH,,2,ACCESSORIES,shopify,draft
maier-accessories-the-great-maier-mercantile-boot-or-purse-charms,The Great Maier Mercantile Boot or Purse charms,MAIER,MAIER-ACCESSORIES-THE-GREAT-MAIER-MERCANTILE-BOOT-OR-PURSE-CHARMS,22.8,4,ACCESSORIES,shopify,draft
maier-handbags-the-great-maier-mercantile-gold-distressed-purse,The Great Maier Mercantile Gold Distressed Purse,MAIER,MAIER-HANDBAGS-THE-GREAT-MAIER-MERCANTILE-GOLD-DISTRESSED-PURSE,43.2,1,HANDBAGS,shopify,draft
maier-handbags-the-great-maier-mercantile-navy-purse,The Great Maier Mercantile Navy Purse,MAIER,MAIER-HANDBAGS-THE-GREAT-MAIER-MERCANTILE-NAVY-PURSE,40.8,0,HANDBAGS,shopify,draft
maier-handbags-the-great-maier-mercantile-pink-fringe-purse,The Great Maier Mercantile Pink Fringe Purse,MAIER,MAIER-HANDBAGS-THE-GREAT-MAIER-MERCANTILE-PINK-FRINGE-PURSE,45,1,HANDBAGS,shopify,draft
maier-handbags-the-great-maier-mercantile-purple-purse,The Great Maier Mercantile Purple Purse,MAIER,MAIER-HANDBAGS-THE-GREAT-MAIER-MERCANTILE-PURPLE-PURSE,40.8,0,HANDBAGS,shopify,draft
mary-frances-handbags-beaded-boho-drawstring-bag-pouch,Beaded Boho Drawstring Bag Pouch,MARY FRANCES,MARY-FRANCES-HANDBAGS-BEADED-BOHO-DRAWSTRING-BAG-POUCH,78,1,HANDBAGS,shopify,draft
mary-frances-handbags-deal-me-in,Deal Me In,MARY FRANCES,MARY-FRANCES-HANDBAGS-DEAL-ME-IN,,0,HANDBAGS,shopify,draft
mary-frances-handbags-gallop-coin-purse,Gallop Coin Purse,MARY FRANCES,MARY-FRANCES-HANDBAGS-GALLOP-COIN-PURSE,20,0,HANDBAGS,shopify,draft
mary-frances-handbags-gone-wild,Gone Wild,MARY FRANCES,MARY-FRANCES-HANDBAGS-GONE-WILD,45,0,HANDBAGS,shopify,draft
mary-frances-handbags-good-luck,Good Luck,MARY FRANCES,MARY-FRANCES-HANDBAGS-GOOD-LUCK,36,1,HANDBAGS,shopify,draft
mary-frances-handbags-keys-to-my-heart-piano-beaded-coin-purse,Keys to my Heart Piano Beaded Coin Purse,MARY FRANCES,MARY-FRANCES-HANDBAGS-KEYS-TO-MY-HEART-PIANO-BEADED-COIN-PURSE,20,1,HANDBAGS,shopify,draft
mary-frances-handbags-keys-to-my-heart,Keys to my heart,MARY FRANCES,MARY-FRANCES-HANDBAGS-KEYS-TO-MY-HEART,39,0,HANDBAGS,shopify,draft
mary-frances-handbags-lipsticks,Lipsticks,MARY FRANCES,MARY-FRANCES-HANDBAGS-LIPSTICKS,,0,HANDBAGS,shopify,draft
mary-frances-handbags-passion-beaded-heart-and-flames-bag,Passion Beaded Heart and Flames Bag,MARY FRANCES,MARY-FRANCES-HANDBAGS-PASSION-BEADED-HEART-AND-FLAMES-BAG,39,0,HANDBAGS,shopify,draft
mary-frances-handbags-smooch-beaded-lips,Smooch Beaded Lips,MARY FRANCES,MARY-FRANCES-HANDBAGS-SMOOCH-BEADED-LIPS,88,1,HANDBAGS,shopify,draft
mary-frances-handbags-starstruck-rock-wings-and-lightning-beaded-bag,Starstruck Rock Wings and Lightning Beaded Bag,MARY FRANCES,MARY-FRANCES-HANDBAGS-STARSTRUCK-ROCK-WINGS-AND-LIGHTNING-BEADED-BAG,82,1,HANDBAGS,shopify,draft
mary-frances-handbags-sugar-coated-cross-body-handbag,Sugar Coated Cross Body Handbag,MARY FRANCES,MARY-FRANCES-HANDBAGS-SUGAR-COATED-CROSS-BODY-HANDBAG,78,1,HANDBAGS,shopify,draft
mary-frances-handbags-lemon-beaded-bag,lemon beaded bag,MARY FRANCES,MARY-FRANCES-HANDBAGS-LEMON-BEADED-BAG,,0,HANDBAGS,shopify,draft
michael-simon-vest-western-embroidered-vintage-vest,Western Embroidered Vintage Vest,MICHAEL SIMON,MICHAEL-SIMON-VEST-WESTERN-EMBROIDERED-VINTAGE-VEST,84.97,1,VEST,shopify,draft
molly-magwire-art-archived-price-is-wrong-molly-x-2,Archived Price is wrong Molly x 2,MOLLY MAGWIRE,MOLLY-MAGWIRE-ART-ARCHIVED-PRICE-IS-WRONG-MOLLY-X-2,,0,ART,shopify,draft
molly-magwire-art-molly-maguire-print,Molly Maguire Print,MOLLY MAGWIRE,MOLLY-MAGWIRE-ART-MOLLY-MAGUIRE-PRINT,,0,ART,shopify,draft
molly-magwire-art-molly-maguire-clown-phrenology,Molly Maguire Clown Phrenology,MOLLY MAGWIRE,MOLLY-MAGWIRE-ART-MOLLY-MAGUIRE-CLOWN-PHRENOLOGY,,0,ART,shopify,draft
molly-magwire-art-molly-maguire-pelican-man,Molly Maguire Pelican Man,MOLLY MAGWIRE,MOLLY-MAGWIRE-ART-MOLLY-MAGUIRE-PELICAN-MAN,,0,ART,shopify,draft
molly-magwire-art-le-rougarou,Le Rougarou,MOLLY MAGWIRE,MOLLY-MAGWIRE-ART-LE-ROUGAROU,,0,ART,shopify,draft
molly-magwire-art-x-2,x 2,MOLLY MAGWIRE,MOLLY-MAGWIRE-ART-X-2,,0,ART,shopify,draft
